Question,Answer
What is the structure of the academic calendar at the University?,"The academic year is divided into two regular terms, each with a duration of not less than 13 weeks of classes, including final examinations."
What are the credit requirements and guidelines for B. Sc. Eng./BURP courses at the University?,"The minimum number of credits for B. Sc. Eng./ BURP degrees is 160, with around 30 contact hours per week."
How is each course designated at KUET?,"Courses are designated by a two to four letter code identifying the department, followed by a four-digit number representing the year, term, and departmental specifics."
What do the digits in a course number represent at KUET?,"The first digit represents the year, the second digit represents the term, and the third and fourth digits are for departmental use, with odd for theoretical and even for sessional/laboratory courses."
What are the types of courses included in KUET's undergraduate curricula?,"Courses are classified as Core Courses, Pre-requisite Courses, Optional Courses, Non Credit Courses, Backlog Courses, Withdrawal Courses, and Incomplete Courses."
What is the procedure for course registration at KUET?,"Students register for courses based on the schedule announced by the Registrar, following consultation with their Adviser and payment of dues."
What are the guidelines for late course registration at KUET?,"Late registration is allowed within 7 working days of class on payment of a late fee, with no registrations accepted after 15 working days of class."
How is the grading system structured at KUET?,"The grading system uses a letter grade format, with grades ranging from A+ (4.00) to F (0.00), based on percentage scores."
How are GPA and CGPA calculated at KUET?,"GPA is the weighted average of grade points in all passed courses in a term, excluding 'F' grades. CGPA is the cumulative performance from the first term up to any other term."
What is the mark distribution for theory courses at KUET?,"Theory courses have 10% for class participation and assignments, 20% for class tests, and 70% for the final examination."
How are marks distributed for project/thesis courses at KUET?,"In project/thesis courses, 30% of marks are evaluated in the 1st term and 70% in the 2nd term, including presentation, viva-voce, supervisor, and external examiner evaluations."
What are the attendance requirements for eligibility of scholarship/stipend/grant at KUET?,"Students must have at least 75% attendance in any theory, lab/sessional/Studio courses to be eligible for scholarships/stipends/grants."
How is attendance evaluated in terms of marks at KUET?,"Attendance is evaluated on a scale, with 100% attendance earning 90% marks, and lower attendance percentages earning proportionally fewer marks."
"What are the guidelines for class tests, quizzes, and spot tests at KUET?","There are 3 class tests for theory courses, and the course teacher also assigns problems for spot tests and quiz examinations."
How are earned credits and CGPA improvement handled at KUET?,Courses with a 'D' grade or higher are counted as earned credits. 'F' grades are not counted for GPA but remain on transcripts. Students can repeat a course for improvement but can't earn above a 'B' grade.
What is the minimum CGPA requirement for obtaining a degree at KUET?,The minimum CGPA requirement for obtaining a B.Sc. Eng./BURP/BArch degree is 2.20.
"How are honors, Dean's List, and University Gold Medal awarded at KUET?",Honors are awarded for a CGPA of 3.75 or better. The Dean's List recognizes students with an average GPA of 3.75 or above in two terms. The University Gold Medal is for the top student in each department with a CGPA of 3.75 or above.
What is the classification of students at KUET?,"Students are classified by year based on earned credits: First Year (0-30 credits), Second Year (30-60 credits), and so on."
What are the provisions for completing backlog courses at KUET?,Backlog exams are held once a year. Students can register for a maximum of 12 credits among all previous term's backlog courses.
"What are the rules for backlog, withdrawal, and incomplete courses at KUET?","Backlog courses can be registered as self-study, but sessional related backlog courses require 60% attendance. Withdrawal and incomplete courses have specific registration conditions."
What is the time limit for completion of a degree at KUET?,The maximum time for completion is 7 consecutive academic years (14 terms) for B.Sc. Eng./BURP and 8 years (16 terms) for BArch.
In what ways does KUET contribute to engineering education in Bangladesh?,"Khulna University of Engineering & Technology (KUET) is one of the leading public universities of Bangladesh focusing on Engineering and Technological Education and research. It aims to achieve excellence in education, research, and progression to address the country's needs, particularly in the South-Western region, and aims to be a 'Center of Excellence'."
Could you highlight the mission and vision of KUET?,"Khulna University of Engineering & Technology (KUET) is one of the leading public universities of Bangladesh focusing on Engineering and Technological Education and research. It aims to achieve excellence in education, research, and progression to address the country's needs, particularly in the South-Western region, and aims to be a 'Center of Excellence'."
Provide an overview of the key historical milestones of KUET.,"KUET, Bangladesh was established in 1967 as Khulna Engineering College. It began its journey on 3 June 1974 following directions from Bangabandhu Sheikh Mujibur Rahman. It became an autonomous institute named Bangladesh Institute of Technology (BIT), Khulna in July 1986, and was later upgraded and renamed as KUET in September 2003."
How has KUET evolved since its inception?,"KUET, Bangladesh was established in 1967 as Khulna Engineering College. It began its journey on 3 June 1974 following directions from Bangabandhu Sheikh Mujibur Rahman. It became an autonomous institute named Bangladesh Institute of Technology (BIT), Khulna in July 1986, and was later upgraded and renamed as KUET in September 2003."
What kind of academic courses and programs are available at KUET?,"KUET offers undergraduate and postgraduate engineering education, and postgraduate degrees in basic sciences. Approximately 5240 students study in 20 departments under 3 faculties. The undergraduate program enrolls about 1065 students annually through a competitive admission test. It also offers graduate studies and research in various programs, including M.Sc, M.Sc Engg, M.Phil, and Ph.D."
Detail the academic structure and offerings at KUET.,"KUET offers undergraduate and postgraduate engineering education, and postgraduate degrees in basic sciences. Approximately 5240 students study in 20 departments under 3 faculties. The undergraduate program enrolls about 1065 students annually through a competitive admission test. It also offers graduate studies and research in various programs, including M.Sc, M.Sc Engg, M.Phil, and Ph.D."
What are the characteristics of the KUET campus environment?,"The university campus is located at the North-West corner of Khulna City Corporation, about 12 Km from the city center. It covers an area of 101 acres with vast greenery."
Give a description of the geographical setting of KUET.,"The university campus is located at the North-West corner of Khulna City Corporation, about 12 Km from the city center. It covers an area of 101 acres with vast greenery."
Can you list a graduate degree offered by KUET related to Civil Engineering (B.Sc. Eng. CE)?,"['B.Sc. in Civil Engineering (B.Sc. Eng. CE)', 'B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)', 'B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)']"
Can you list a graduate degree offered by KUET related to Electrical & Electronic Engineering (B.Sc. Eng. EEE)?,"['B.Sc. in Civil Engineering (B.Sc. Eng. CE)', 'B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)', 'B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)']"
Can you list a graduate degree offered by KUET related to Mechanical Engineering (B.Sc. Eng. ME)?,"['B.Sc. in Civil Engineering (B.Sc. Eng. CE)', 'B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)', 'B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)']"
What postgraduate study options does KUET offer in the area of Engineering (various disciplines)?,"['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
"What postgraduate study options does KUET offer in the area of Mathematics, Chemistry, Physics?","['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
"What postgraduate study options does KUET offer in the area of Mathematics, Chemistry, Physics?","['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
What postgraduate study options does KUET offer in the area of various engineering and science disciplines?,"['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
Can you name a department under KUET’s Civil faculty?,"['Civil Engineering', 'Urban and Regional Planning', 'Building Engineering & Construction Management']"
Can you name a department under KUET’s Urban faculty?,"['Civil Engineering', 'Urban and Regional Planning', 'Building Engineering & Construction Management']"
Can you name a department under KUET’s Building faculty?,"['Civil Engineering', 'Urban and Regional Planning', 'Building Engineering & Construction Management']"
What criteria must students meet to be eligible for KUET?,"Students must be Bangladeshi citizens, have passed H.S.C or equivalent with a minimum GPA of 4.00, and must have a Grade Point of 5.00 in Mathematics, Physics, and Chemistry, with at least 4.00 in English."
Detail the admission prerequisites for prospective KUET students.,"Students must be Bangladeshi citizens, have passed H.S.C or equivalent with a minimum GPA of 4.00, and must have a Grade Point of 5.00 in Mathematics, Physics, and Chemistry, with at least 4.00 in English."
What topics are included in the admission test at KUET?,"The syllabus includes Mathematics, Physics, Chemistry, and English, based on the H.S.C examination syllabus."
Outline the subject areas covered in the KUET entrance examination.,"The syllabus includes Mathematics, Physics, Chemistry, and English, based on the H.S.C examination syllabus."
How is the admission test at KUET graded to form a merit list?,"Merit list is based on total Grade Point in H.S.C examination in Mathematics, Physics, Chemistry, and English. In case of a tie, total marks in these subjects are considered."
Explain the grading system for KUET's admission test.,"Merit list is based on total Grade Point in H.S.C examination in Mathematics, Physics, Chemistry, and English. In case of a tie, total marks in these subjects are considered."
In what ways does KUET contribute to engineering education in Bangladesh?,"Khulna University of Engineering & Technology (KUET) is one of the leading public universities of Bangladesh focusing on Engineering and Technological Education and research. It aims to achieve excellence in education, research, and progression to address the country's needs, particularly in the South-Western region, and aims to be a 'Center of Excellence'."
Could you highlight the mission and vision of KUET?,"Khulna University of Engineering & Technology (KUET) is one of the leading public universities of Bangladesh focusing on Engineering and Technological Education and research. It aims to achieve excellence in education, research, and progression to address the country's needs, particularly in the South-Western region, and aims to be a 'Center of Excellence'."
Provide an overview of the key historical milestones of KUET.,"KUET, Bangladesh was established in 1967 as Khulna Engineering College. It began its journey on 3 June 1974 following directions from Bangabandhu Sheikh Mujibur Rahman. It became an autonomous institute named Bangladesh Institute of Technology (BIT), Khulna in July 1986, and was later upgraded and renamed as KUET in September 2003."
How has KUET evolved since its inception?,"KUET, Bangladesh was established in 1967 as Khulna Engineering College. It began its journey on 3 June 1974 following directions from Bangabandhu Sheikh Mujibur Rahman. It became an autonomous institute named Bangladesh Institute of Technology (BIT), Khulna in July 1986, and was later upgraded and renamed as KUET in September 2003."
What kind of academic courses and programs are available at KUET?,"KUET offers undergraduate and postgraduate engineering education, and postgraduate degrees in basic sciences. Approximately 5240 students study in 20 departments under 3 faculties. The undergraduate program enrolls about 1065 students annually through a competitive admission test. It also offers graduate studies and research in various programs, including M.Sc, M.Sc Engg, M.Phil, and Ph.D."
Detail the academic structure and offerings at KUET.,"KUET offers undergraduate and postgraduate engineering education, and postgraduate degrees in basic sciences. Approximately 5240 students study in 20 departments under 3 faculties. The undergraduate program enrolls about 1065 students annually through a competitive admission test. It also offers graduate studies and research in various programs, including M.Sc, M.Sc Engg, M.Phil, and Ph.D."
What are the characteristics of the KUET campus environment?,"The university campus is located at the North-West corner of Khulna City Corporation, about 12 Km from the city center. It covers an area of 101 acres with vast greenery."
Give a description of the geographical setting of KUET.,"The university campus is located at the North-West corner of Khulna City Corporation, about 12 Km from the city center. It covers an area of 101 acres with vast greenery."
Can you list a graduate degree offered by KUET related to Civil Engineering (B.Sc. Eng. CE)?,"['B.Sc. in Civil Engineering (B.Sc. Eng. CE)', 'B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)', 'B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)']"
Can you list a graduate degree offered by KUET related to Electrical & Electronic Engineering (B.Sc. Eng. EEE)?,"['B.Sc. in Civil Engineering (B.Sc. Eng. CE)', 'B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)', 'B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)']"
Can you list a graduate degree offered by KUET related to Mechanical Engineering (B.Sc. Eng. ME)?,"['B.Sc. in Civil Engineering (B.Sc. Eng. CE)', 'B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)', 'B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)']"
What postgraduate study options does KUET offer in the area of Engineering (various disciplines)?,"['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
"What postgraduate study options does KUET offer in the area of Mathematics, Chemistry, Physics?","['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
"What postgraduate study options does KUET offer in the area of Mathematics, Chemistry, Physics?","['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
What postgraduate study options does KUET offer in the area of various engineering and science disciplines?,"['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
Can you name a department under KUET’s Civil faculty?,"['Civil Engineering', 'Urban and Regional Planning', 'Building Engineering & Construction Management']"
Can you name a department under KUET’s Urban faculty?,"['Civil Engineering', 'Urban and Regional Planning', 'Building Engineering & Construction Management']"
Can you name a department under KUET’s Building faculty?,"['Civil Engineering', 'Urban and Regional Planning', 'Building Engineering & Construction Management']"
What criteria must students meet to be eligible for KUET?,"Students must be Bangladeshi citizens, have passed H.S.C or equivalent with a minimum GPA of 4.00, and must have a Grade Point of 5.00 in Mathematics, Physics, and Chemistry, with at least 4.00 in English."
Detail the admission prerequisites for prospective KUET students.,"Students must be Bangladeshi citizens, have passed H.S.C or equivalent with a minimum GPA of 4.00, and must have a Grade Point of 5.00 in Mathematics, Physics, and Chemistry, with at least 4.00 in English."
What topics are included in the admission test at KUET?,"The syllabus includes Mathematics, Physics, Chemistry, and English, based on the H.S.C examination syllabus."
Outline the subject areas covered in the KUET entrance examination.,"The syllabus includes Mathematics, Physics, Chemistry, and English, based on the H.S.C examination syllabus."
How is the admission test at KUET graded to form a merit list?,"Merit list is based on total Grade Point in H.S.C examination in Mathematics, Physics, Chemistry, and English. In case of a tie, total marks in these subjects are considered."
Explain the grading system for KUET's admission test.,"Merit list is based on total Grade Point in H.S.C examination in Mathematics, Physics, Chemistry, and English. In case of a tie, total marks in these subjects are considered."
In what ways does KUET contribute to engineering education in Bangladesh?,"Khulna University of Engineering & Technology (KUET) is one of the leading public universities of Bangladesh focusing on Engineering and Technological Education and research. It aims to achieve excellence in education, research, and progression to address the country's needs, particularly in the South-Western region, and aims to be a 'Center of Excellence'."
Could you highlight the mission and vision of KUET?,"Khulna University of Engineering & Technology (KUET) is one of the leading public universities of Bangladesh focusing on Engineering and Technological Education and research. It aims to achieve excellence in education, research, and progression to address the country's needs, particularly in the South-Western region, and aims to be a 'Center of Excellence'."
Provide an overview of the key historical milestones of KUET.,"KUET, Bangladesh was established in 1967 as Khulna Engineering College. It began its journey on 3 June 1974 following directions from Bangabandhu Sheikh Mujibur Rahman. It became an autonomous institute named Bangladesh Institute of Technology (BIT), Khulna in July 1986, and was later upgraded and renamed as KUET in September 2003."
How has KUET evolved since its inception?,"KUET, Bangladesh was established in 1967 as Khulna Engineering College. It began its journey on 3 June 1974 following directions from Bangabandhu Sheikh Mujibur Rahman. It became an autonomous institute named Bangladesh Institute of Technology (BIT), Khulna in July 1986, and was later upgraded and renamed as KUET in September 2003."
What kind of academic courses and programs are available at KUET?,"KUET offers undergraduate and postgraduate engineering education, and postgraduate degrees in basic sciences. Approximately 5240 students study in 20 departments under 3 faculties. The undergraduate program enrolls about 1065 students annually through a competitive admission test. It also offers graduate studies and research in various programs, including M.Sc, M.Sc Engg, M.Phil, and Ph.D."
Detail the academic structure and offerings at KUET.,"KUET offers undergraduate and postgraduate engineering education, and postgraduate degrees in basic sciences. Approximately 5240 students study in 20 departments under 3 faculties. The undergraduate program enrolls about 1065 students annually through a competitive admission test. It also offers graduate studies and research in various programs, including M.Sc, M.Sc Engg, M.Phil, and Ph.D."
What are the characteristics of the KUET campus environment?,"The university campus is located at the North-West corner of Khulna City Corporation, about 12 Km from the city center. It covers an area of 101 acres with vast greenery."
Give a description of the geographical setting of KUET.,"The university campus is located at the North-West corner of Khulna City Corporation, about 12 Km from the city center. It covers an area of 101 acres with vast greenery."
Can you list a graduate degree offered by KUET related to Civil Engineering (B.Sc. Eng. CE)?,"['B.Sc. in Civil Engineering (B.Sc. Eng. CE)', 'B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)', 'B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)']"
Can you list a graduate degree offered by KUET related to Electrical & Electronic Engineering (B.Sc. Eng. EEE)?,"['B.Sc. in Civil Engineering (B.Sc. Eng. CE)', 'B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)', 'B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)']"
Can you list a graduate degree offered by KUET related to Mechanical Engineering (B.Sc. Eng. ME)?,"['B.Sc. in Civil Engineering (B.Sc. Eng. CE)', 'B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)', 'B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)']"
What postgraduate study options does KUET offer in the area of Engineering (various disciplines)?,"['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
"What postgraduate study options does KUET offer in the area of Mathematics, Chemistry, Physics?","['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
"What postgraduate study options does KUET offer in the area of Mathematics, Chemistry, Physics?","['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
What postgraduate study options does KUET offer in the area of various engineering and science disciplines?,"['M.Sc. in Engineering (various disciplines)', 'M.Sc. in Mathematics, Chemistry, Physics', 'M.Phil. in Mathematics, Chemistry, Physics', 'Ph.D. in various engineering and science disciplines']"
Can you name a department under KUET’s Civil faculty?,"['Civil Engineering', 'Urban and Regional Planning', 'Building Engineering & Construction Management']"
Can you name a department under KUET’s Urban faculty?,"['Civil Engineering', 'Urban and Regional Planning', 'Building Engineering & Construction Management']"
Can you name a department under KUET’s Building faculty?,"['Civil Engineering', 'Urban and Regional Planning', 'Building Engineering & Construction Management']"
What criteria must students meet to be eligible for KUET?,"Students must be Bangladeshi citizens, have passed H.S.C or equivalent with a minimum GPA of 4.00, and must have a Grade Point of 5.00 in Mathematics, Physics, and Chemistry, with at least 4.00 in English."
Detail the admission prerequisites for prospective KUET students.,"Students must be Bangladeshi citizens, have passed H.S.C or equivalent with a minimum GPA of 4.00, and must have a Grade Point of 5.00 in Mathematics, Physics, and Chemistry, with at least 4.00 in English."
What topics are included in the admission test at KUET?,"The syllabus includes Mathematics, Physics, Chemistry, and English, based on the H.S.C examination syllabus."
Outline the subject areas covered in the KUET entrance examination.,"The syllabus includes Mathematics, Physics, Chemistry, and English, based on the H.S.C examination syllabus."
How is the admission test at KUET graded to form a merit list?,"Merit list is based on total Grade Point in H.S.C examination in Mathematics, Physics, Chemistry, and English. In case of a tie, total marks in these subjects are considered."
Explain the grading system for KUET's admission test.,"Merit list is based on total Grade Point in H.S.C examination in Mathematics, Physics, Chemistry, and English. In case of a tie, total marks in these subjects are considered."
In what ways does KUET contribute to engineering education in Bangladesh?,"Khulna University of Engineering & Technology (KUET) is one of the leading public universities of Bangladesh focusing on Engineering and Technological Education and research. It aims to achieve excellence in education, research, and progression to address the country's needs, particularly in the South-Western region, and aims to be a 'Center of Excellence'."
